;Level;2
;Procedure;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;
;face;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;
;slidestate;Go;Go;Go;Go;Go;Go;Go;NoGo;NoGo;Go;Go;Go;NoGo;NoGo;NoGo;Go;Go;Go;Go;NoGo;Go;NoGo;Go;Go;Go;Go;Go;NoGo;Go;NoGo;NoGo;NoGo;NoGo;Go;Go;Go;
;probe;_;_;I;_;_;I;_;I;_;I;I;_;_;I;I;_;I;_;I;_;I;I;_;I;I;_;_;I;I;_;_;I;_;I;_;I;
;proberight;I;I;_;I;I;_;I;_;I;_;_;I;I;_;_;I;_;I;_;I;_;_;I;_;_;I;I;_;_;I;I;_;I;_;I;_;
;Correct;l;l;a;l;l;a;l;{SPACE};{SPACE};a;a;l;{SPACE};{SPACE};{SPACE};l;a;l;a;{SPACE};a;{SPACE};l;a;a;l;l;{SPACE};a;{SPACE};{SPACE};{SPACE};{SPACE};a;l;a;
;practice;19;23;34;29;25;20;35;11;4;18;14;31;10;3;9;17;32;15;24;12;26;5;33;36;28;21;27;1;16;6;8;7;2;30;13;22;
;practice.Cycle;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;practice.Sample;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;
;Running;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;practice;
;Stimulus.OnsetDelay;30;13;14;13;13;13;13;13;14;14;14;13;14;13;13;13;13;13;14;14;14;14;13;13;13;14;14;13;13;14;13;13;14;14;13;13;
;Stimulus.OnsetTime;9451;12834;16201;19884;23434;26867;30584;34350;37434;41384;44484;47850;50967;55333;58200;61967;65733;69433;72550;76250;79600;83400;87316;90816;95116;98783;102516;105799;109049;111916;114782;117682;120799;124949;127965;132215;
;Stimulus.DurationError;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;
;Stimulus.RTTime;10749;14119;17806;21363;24795;28505;32279;35349;39301;42398;45770;48892;53256;56129;59891;63641;67359;70479;74164;77530;81325;85245;88740;93045;96700;100445;103722;106975;109844;112700;115596;118724;122863;125881;130135;134368;
;Stimulus.ACC;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;
;Stimulus.RT;1298;1285;1605;1479;1361;1638;1695;999;1867;1014;1286;1042;2289;796;1691;1674;1626;1046;1614;1280;1725;1845;1424;2229;1584;1662;1206;1176;795;784;814;1042;2064;932;2170;2153;
;Stimulus.RESP;l;l;a;{SPACE};l;a;l;{SPACE};{SPACE};a;a;l;{SPACE};{SPACE};a;l;{SPACE};{SPACE};a;{SPACE};a;{SPACE};l;a;a;l;l;{SPACE};a;{SPACE};{SPACE};l;{SPACE};a;l;a;
;Stimulus.CRESP;l;l;a;l;l;a;l;{SPACE};{SPACE};a;a;l;{SPACE};{SPACE};{SPACE};l;a;l;a;{SPACE};a;{SPACE};l;a;a;l;l;{SPACE};a;{SPACE};{SPACE};{SPACE};{SPACE};a;l;a;
;Stimulus.OnsetToOnsetTime;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;
;Media_practice_sem_ACC_zero;18.50;
;SomaACC;666;
;MediaACC;1850.00;
;DP_Stimulus.OnsetDelay;2.77;

;;Level;3
;;Procedure;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;
;;face;quadrado.png;circulo.png;quadrado.png;pentagono.png;circulo.png;triangulo.png;triangulo.png;pentagono.png;hexagono.png;triangulo.png;hexagono.png;pentagono.png;hexagono.png;quadrado.png;hexagono.png;triangulo.png;circulo.png;pentagono.png;circulo.png;quadrado.png;circulo.png;
;;slidestate;Go;NoGo;Go;Go;NoGo;Go;NoGo;NoGo;NoGo;NoGo;Go;Go;Go;NoGo;Go;Go;Go;Go;Go;Go;Go;
;;probe;_;_;I;_;_;I;I;I;_;I;_;I;_;_;I;_;_;I;I;_;I;
;;proberight;I;I;_;I;I;_;_;_;I;_;I;_;I;I;_;I;I;_;_;I;_;
;;Correct;l;{SPACE};a;l;{SPACE};a;{SPACE};{SPACE};{SPACE};{SPACE};l;a;l;{SPACE};a;l;l;a;a;l;a;
;;List9;4;16;9;8;21;5;20;18;17;15;12;13;2;19;7;10;6;3;1;14;11;
;;Running;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;List9;
;;Stimulus.OnsetDelay;14;13;12;13;14;13;14;13;30;13;30;13;30;13;30;13;13;14;14;14;14;
;;Stimulus.OnsetTime;136849;138865;141565;144015;146032;149115;151732;154581;156698;158698;161998;164131;166931;169181;171381;174364;177164;180298;183198;185448;187898;
;;Stimulus.DurationError;0;1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;
;;Stimulus.RTTime;137821;140529;142968;144993;148072;150684;153538;155642;157654;160937;163090;165865;168142;170320;173325;176113;179246;182148;184405;186854;189779;
;;Stimulus.ACC;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;Stimulus.RT;972;1664;1403;978;2040;1569;1806;1061;956;2239;1092;1734;1211;1139;1944;1749;2082;1850;1207;1406;1881;
;;Stimulus.RESP;l;{SPACE};a;l;{SPACE};a;{SPACE};a;{SPACE};{SPACE};l;a;l;{SPACE};a;l;l;a;a;l;a;
;;Stimulus.CRESP;l;{SPACE};a;l;{SPACE};a;{SPACE};{SPACE};{SPACE};{SPACE};l;a;l;{SPACE};a;l;l;a;a;l;a;
;;Stimulus.OnsetToOnsetTime;249;250;250;250;250;250;250;251;250;250;250;250;250;250;250;250;250;250;250;250;250;
;;List9.Cycle;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;List9.Sample;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;
;;DP_Stimulus.OnsetDelay;6.56;

;Level;2
;Procedure;controlproc;
;morepracproc;1;
;Running;morepracproc;
;morepracproc.Cycle;1;
;morepracproc.Sample;1;

;;Level;3
;;Procedure;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;
;;face;10F_CA_C.BMP;10F_CA_C.BMP;45M_CA_C.BMP;11F_CA_C.BMP;34M_CA_C.BMP;45M_CA_C.BMP;40M_CA_C.BMP;45M_CA_C.BMP;42M_CA_C.BMP;10F_CA_C.BMP;40M_CA_C.BMP;03F_CA_C.BMP;34M_CA_C.BMP;42M_CA_C.BMP;42M_CA_C.BMP;03F_CA_C.BMP;18F_CA_C.BMP;34M_CA_C.BMP;18F_CA_C.BMP;40M_CA_C.BMP;11F_CA_C.BMP;18F_CA_C.BMP;11F_CA_C.BMP;03F_CA_C.BMP;
;;slidestate;Go;NoGo;Go;Go;NoGo;NoGo;NoGo;Go;Go;Go;Go;Go;Go;NoGo;Go;NoGo;Go;Go;NoGo;Go;NoGo;Go;Go;Go;
;;probe;I;I;I;_;_;I;I;I;_;I;I;_;_;_;_;_;I;_;I;I;_;I;_;_;
;;proberight;_;_;_;I;I;_;_;_;I;_;_;I;I;I;I;I;_;I;_;_;I;_;I;I;
;;Correct;a;{SPACE};a;l;{SPACE};{SPACE};{SPACE};a;l;a;a;l;l;{SPACE};l;{SPACE};a;l;{SPACE};a;{SPACE};a;l;l;
;;CalmList;18;2;16;19;5;8;6;24;15;10;22;9;21;7;23;1;12;13;4;14;3;20;11;17;
;;Running;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;CalmList;
;;Stimulus.OnsetDelay;30;13;30;30;29;12;30;13;30;13;14;30;13;14;13;13;30;14;13;13;13;13;13;14;
;;Stimulus.OnsetTime;192931;194947;197531;200864;203014;206147;208214;210530;213297;216447;219564;222580;224697;226597;229380;231680;234547;236447;238580;241613;244246;246413;248763;250830;
;;Stimulus.DurationError;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;
;;Stimulus.RTTime;193901;196466;199806;201962;205111;207159;209485;212232;215396;218525;221513;223647;225549;228330;230628;233485;235401;237532;240572;243209;245363;247715;249784;252739;
;;Stimulus.ACC;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;
;;Stimulus.RT;970;1519;2275;1098;2097;1012;1271;1702;2099;2078;1949;1067;852;1733;1248;1805;854;1085;1992;1596;1117;1302;1021;1909;
;;Stimulus.RESP;a;{SPACE};a;{SPACE};{SPACE};{SPACE};{SPACE};a;l;a;{SPACE};l;l;{SPACE};l;{SPACE};a;l;{SPACE};{SPACE};a;a;l;l;
;;Stimulus.CRESP;a;{SPACE};a;l;{SPACE};{SPACE};{SPACE};a;l;a;a;l;l;{SPACE};l;{SPACE};a;l;{SPACE};a;{SPACE};a;l;l;
;;Stimulus.OnsetToOnsetTime;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;
;;CalmList.Cycle;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;CalmList.Sample;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
;;DP_Stimulus.OnsetDelay;7.88;

;Level;2
;Procedure;Calmproc;
;testproc;3;
;Running;testproc;
;testproc.Cycle;1;
;testproc.Sample;1;

;;Level;3
;;FearList;7;15;2;22;6;19;11;3;16;14;4;10;18;23;5;24;1;12;8;13;17;21;9;20;
;;Procedure;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;
;;face;42M_FE_O.BMP;42M_FE_O.BMP;10F_FE_O.BMP;40M_FE_O.BMP;40M_FE_O.BMP;11F_FE_O.BMP;11F_FE_O.BMP;11F_FE_O.BMP;45M_FE_O.BMP;40M_FE_O.BMP;18F_FE_O.BMP;10F_FE_O.BMP;10F_FE_O.BMP;42M_FE_O.BMP;34M_FE_O.BMP;45M_FE_O.BMP;03F_FE_O.BMP;18F_FE_O.BMP;45M_FE_O.BMP;34M_FE_O.BMP;03F_FE_O.BMP;34M_FE_O.BMP;03F_FE_O.BMP;18F_FE_O.BMP;
;;slidestate;Go;Go;Go;NoGo;Go;NoGo;Go;Go;Go;Go;Go;Go;NoGo;NoGo;Go;NoGo;Go;Go;Go;Go;NoGo;NoGo;Go;NoGo;
;;probe;_;_;I;I;I;_;_;_;I;I;I;I;I;_;_;I;_;I;I;_;_;_;_;I;
;;proberight;I;I;_;_;_;I;I;I;_;_;_;_;_;I;I;_;I;_;_;I;I;I;I;_;
;;Correct;l;l;a;{SPACE};a;{SPACE};l;l;a;a;a;a;{SPACE};{SPACE};l;{SPACE};l;a;a;l;{SPACE};{SPACE};l;{SPACE};
;;Running;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;FearList;
;;Stimulus.OnsetDelay;30;13;30;30;13;30;14;14;80;13;30;13;13;14;30;14;30;13;13;13;13;13;13;14;
;;Stimulus.OnsetTime;254430;256746;259846;261946;264379;266796;269663;272413;275363;278029;280412;282229;285562;288596;291779;294829;296979;300012;303195;305812;307945;310145;313445;316562;
;;Stimulus.DurationError;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1;1;0;
;;Stimulus.RTTime;255701;258785;260884;263328;265742;268616;271362;274245;276985;279357;281177;284513;287545;290713;293783;295918;298960;302155;304772;306902;309108;312402;315512;317507;
;;Stimulus.ACC;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;
;;Stimulus.RT;1271;2039;1038;1382;1363;1820;1699;1832;1622;1328;765;2284;1983;2117;2004;1089;1981;2143;1577;1090;1163;2257;2067;945;
;;Stimulus.RESP;l;l;a;{SPACE};a;{SPACE};l;l;l;{SPACE};a;a;a;a;a;a;l;a;a;l;{SPACE};{SPACE};l;{SPACE};
;;Stimulus.CRESP;l;l;a;{SPACE};a;{SPACE};l;l;a;a;a;a;{SPACE};{SPACE};l;{SPACE};l;a;a;l;{SPACE};{SPACE};l;{SPACE};
;;Stimulus.OnsetToOnsetTime;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;
;;FearList.Cycle;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;FearList.Sample;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
;;DP_Stimulus.OnsetDelay;14.43;

;Level;2
;Procedure;Fearproc;
;testproc;5;
;Running;testproc;
;testproc.Cycle;1;
;testproc.Sample;2;

;;Level;3
;;Procedure;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;
;;face;34M_SP_O.BMP;10F_SP_O.BMP;40M_SP_O.BMP;45M_SP_O.BMP;03F_SP_O.BMP;42M_SP_O.BMP;18F_SP_O.BMP;11F_SP_O.BMP;10F_SP_O.BMP;11F_SP_O.BMP;42M_SP_O.BMP;34M_SP_O.BMP;03F_SP_O.BMP;40M_SP_O.BMP;34M_SP_O.BMP;45M_SP_O.BMP;18F_SP_O.BMP;03F_SP_O.BMP;45M_SP_O.BMP;11F_SP_O.BMP;42M_SP_O.BMP;10F_SP_O.BMP;40M_SP_O.BMP;18F_SP_O.BMP;
;;slidestate;Go;Go;NoGo;Go;Go;Go;Go;Go;Go;Go;NoGo;NoGo;NoGo;Go;Go;Go;NoGo;Go;NoGo;NoGo;Go;NoGo;Go;Go;
;;probe;_;I;I;I;_;_;I;_;I;_;_;_;_;I;_;I;I;_;I;_;_;I;I;I;
;;proberight;I;_;_;_;I;I;_;I;_;I;I;I;I;_;I;_;_;I;_;I;I;_;_;_;
;;Correct;l;a;{SPACE};a;l;l;a;l;a;l;{SPACE};{SPACE};{SPACE};a;l;a;{SPACE};l;{SPACE};{SPACE};l;{SPACE};a;a;
;;SurpriseList;21;18;6;24;17;15;12;11;10;19;7;5;1;14;13;16;4;9;8;3;23;2;22;20;
;;Running;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;SurpriseList;
;;Stimulus.OnsetDelay;30;30;30;30;30;30;30;30;14;13;13;13;13;13;14;13;12;13;13;13;14;14;13;13;
;;Stimulus.OnsetTime;319178;321928;324228;326245;329028;332328;335611;338145;341295;344078;347361;350644;352794;356061;358578;360761;363544;365494;368444;371777;374661;376711;378727;381344;
;;Stimulus.DurationError;1;1;1;0;1;1;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0;0;1;0;
;;Stimulus.RTTime;320869;323167;325180;327968;331260;334547;337076;340251;343034;346317;349594;351746;355013;357532;359711;362508;364454;367406;370733;373624;375668;377679;380301;382171;
;;Stimulus.ACC;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
;;Stimulus.RT;1691;1239;952;1723;2232;2219;1465;2106;1739;2239;2233;1102;2219;1471;1133;1747;910;1912;2289;1847;1007;968;1574;827;
;;Stimulus.RESP;l;a;{SPACE};l;l;l;a;l;a;a;{SPACE};{SPACE};{SPACE};a;l;a;{SPACE};l;{SPACE};{SPACE};l;{SPACE};{SPACE};{SPACE};
;;Stimulus.CRESP;l;a;{SPACE};a;l;l;a;l;a;l;{SPACE};{SPACE};{SPACE};a;l;a;{SPACE};l;{SPACE};{SPACE};l;{SPACE};a;a;
;;Stimulus.OnsetToOnsetTime;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;
;;SurpriseList.Cycle;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;SurpriseList.Sample;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
;;DP_Stimulus.OnsetDelay;7.94;

;Level;2
;Procedure;Surpriseproc;
;testproc;7;
;Running;testproc;
;testproc.Cycle;1;
